Координаты,Высота
"[55.568494, 37.701466]",163 м
"[55.568383000000004, 37.701577]",163 м
"[55.56827200000001, 37.701688]",163 м
"[55.56816100000001, 37.701798999999994]",164 м
"[55.568050000000014, 37.70190999999999]",164 м
"[55.56793900000002, 37.70202099999999]",165 м
"[55.56782800000002, 37.702131999999985]",165 м
"[55.56771700000002, 37.70224299999998]",165 м
"[55.567606000000026, 37.70235399999998]",166 м
"[55.56749500000003, 37.702464999999975]",166 м
"[55.56738400000003, 37.70257599999997]",166 м
"[55.567273000000036, 37.70268699999997]",167 м
"[55.56716200000004, 37.702797999999966]",167 м
"[55.56705100000004, 37.70290899999996]",167 м
"[55.566940000000045, 37.70301999999996]",168 м
"[55.56682900000005, 37.703130999999956]",168 м
"[55.56671800000005, 37.70324199999995]",169 м
"[55.566607000000054, 37.70335299999995]",169 м
"[55.56649600000006, 37.70346399999995]",169 м
"[55.56638500000006, 37.703574999999944]",169 м
"[55.566274000000064, 37.70368599999994]",169 м
"[55.56616300000007, 37.70379699999994]",168 м
"[55.56605200000007, 37.703907999999934]",168 м
"[55.56594100000007, 37.70401899999993]",168 м
"[55.565830000000076, 37.70412999999993]",168 м
"[55.56571900000008, 37.704240999999925]",168 м
"[55.56560800000008, 37.70435199999992]",169 м
"[55.565497000000086, 37.70446299999992]",169 м
"[55.56538600000009, 37.704573999999916]",169 м
"[55.56527500000009, 37.70468499999991]",169 м
"[55.565164000000095, 37.70479599999991]",169 м
"[55.5650530000001, 37.704906999999906]",168 м
"[55.5649420000001, 37.7050179999999]",168 м
"[55.564831000000105, 37.7051289999999]",168 м
"[55.56472000000011, 37.7052399999999]",168 м
"[55.56460900000011, 37.705350999999894]",168 м
"[55.564498000000114, 37.70546199999989]",167 м
"[55.56438700000012, 37.70557299999989]",167 м
"[55.56427600000012, 37.705683999999884]",167 м
"[55.56416500000012, 37.70579499999988]",166 м
"[55.56405400000013, 37.70590599999988]",166 м
"[55.56394300000013, 37.706016999999875]",165 м
"[55.56383200000013, 37.70612799999987]",165 м
"[55.563721000000136, 37.70623899999987]",164 м
"[55.56361000000014, 37.706349999999865]",164 м
"[55.56349900000014, 37.70646099999986]",164 м
"[55.563388000000145, 37.70657199999986]",163 м
"[55.56327700000015, 37.706682999999856]",163 м
"[55.56316600000015, 37.70679399999985]",163 м
"[55.563055000000155, 37.70690499999985]",163 м
"[55.56294400000016, 37.70701599999985]",163 м
"[55.56283300000016, 37.70712699999984]",163 м
"[55.562722000000164, 37.70723799999984]",164 м
"[55.56261100000017, 37.70734899999984]",164 м
"[55.56250000000017, 37.707459999999834]",164 м
"[55.562389000000174, 37.70757099999983]",164 м
"[55.56227800000018, 37.70768199999983]",?
"[55.56216700000018, 37.707792999999825]",?
"[55.56205600000018, 37.70790399999982]",?
"[55.561945000000186, 37.70801499999982]",?
"[55.56183400000019, 37.708125999999815]",?
"[55.56172300000019, 37.70823699999981]",162 м
"[55.561612000000196, 37.70834799999981]",?
"[55.5615010000002, 37.708458999999806]",?
"[55.5613900000002, 37.7085699999998]",?
"[55.561279000000205, 37.7086809999998]",?
"[55.56116800000021, 37.7087919999998]",161 м
"[55.56105700000021, 37.70890299999979]",?
"[55.560946000000214, 37.70901399999979]",?
"[55.56083500000022, 37.70912499999979]",?
"[55.56072400000022, 37.709235999999784]",?
"[55.560613000000224, 37.70934699999978]",?
"[55.56050200000023, 37.70945799999978]",160 м
"[55.56039100000023, 37.709568999999775]",?
"[55.56028000000023, 37.70967999999977]",?
"[55.560169000000236, 37.70979099999977]",?
"[55.56005800000024, 37.709901999999765]",?
"[55.55994700000024, 37.71001299999976]",?
"[55.559836000000246, 37.71012399999976]",160 м
"[55.55972500000025, 37.710234999999756]",?
"[55.55961400000025, 37.71034599999975]",?
"[55.559503000000255, 37.71045699999975]",?
"[55.55939200000026, 37.710567999999746]",?
"[55.55928100000026, 37.71067899999974]",?
"[55.559170000000265, 37.71078999999974]",162 м
"[55.55905900000027, 37.71090099999974]",?
"[55.55894800000027, 37.711011999999734]",?
"[55.558837000000274, 37.71112299999973]",?
"[55.55872600000028, 37.71123399999973]",?
"[55.55861500000028, 37.711344999999724]",163 м
"[55.55850400000028, 37.71145599999972]",?
"[55.55839300000029, 37.71156699999972]",?
"[55.55828200000029, 37.711677999999715]",?
"[55.55817100000029, 37.71178899999971]",?
"[55.558060000000296, 37.71189999999971]",?
"[55.5579490000003, 37.712010999999706]",166 м
"[55.5578380000003, 37.7121219999997]",?
"[55.557727000000305, 37.7122329999997]",?
"[55.55761600000031, 37.712343999999696]",?
"[55.55750500000031, 37.71245499999969]",?
"[55.557394000000315, 37.71256599999969]",?
"[55.55728300000032, 37.71267699999969]",168 м
"[55.55717200000032, 37.712787999999684]",?
"[55.557061000000324, 37.71289899999968]",?
"[55.55695000000033, 37.71300999999968]",?
"[55.55683900000033, 37.713120999999674]",?
"[55.556728000000334, 37.71323199999967]",169 м
"[55.55661700000034, 37.71334299999967]",?
"[55.55650600000034, 37.713453999999665]",?
"[55.55639500000034, 37.71356499999966]",?
"[55.556284000000346, 37.71367599999966]",?
"[55.55617300000035, 37.713786999999655]",?
"[55.55606200000035, 37.71389799999965]",171 м
"[55.555951000000356, 37.71400899999965]",?
"[55.55584000000036, 37.714119999999646]",?
"[55.55572900000036, 37.71423099999964]",?
"[55.555618000000365, 37.71434199999964]",?
"[55.55550700000037, 37.71445299999964]",?
"[55.55539600000037, 37.71456399999963]",172 м
"[55.555285000000374, 37.71467499999963]",?
"[55.55517400000038, 37.71478599999963]",?
"[55.55506300000038, 37.714896999999624]",?
"[55.554952000000384, 37.71500799999962]",?
"[55.55484100000039, 37.71511899999962]",?
"[55.55473000000039, 37.715229999999615]",174 м
"[55.55461900000039, 37.71534099999961]",?
"[55.554508000000396, 37.71545199999961]",?
"[55.5543970000004, 37.715562999999605]",?
"[55.5542860000004, 37.7156739999996]",?
"[55.554175000000406, 37.7157849999996]",174 м
"[55.55406400000041, 37.715895999999596]",?
"[55.55395300000041, 37.71600699999959]",?
"[55.553842000000415, 37.71611799999959]",?
"[55.55373100000042, 37.716228999999586]",?
"[55.55362000000042, 37.71633999999958]",?
"[55.553509000000425, 37.71645099999958]",178 м
"[55.55339800000043, 37.71656199999958]",?
"[55.55328700000043, 37.716672999999574]",?
"[55.553176000000434, 37.71678399999957]",?
"[55.55306500000044, 37.71689499999957]",?
"[55.55295400000044, 37.717005999999564]",?
"[55.55284300000044, 37.71711699999956]",178 м
"[55.55273200000045, 37.71722799999956]",?
"[55.55262100000045, 37.717338999999555]",?
"[55.55251000000045, 37.71744999999955]",?
"[55.552399000000456, 37.71756099999955]",?
"[55.55228800000046, 37.717671999999546]",179 м
"[55.55217700000046, 37.71778299999954]",?
"[55.552066000000465, 37.71789399999954]",?
"[55.55195500000047, 37.718004999999536]",?
"[55.55184400000047, 37.71811599999953]",?
"[55.551733000000475, 37.71822699999953]",?
"[55.55162200000048, 37.71833799999953]",179 м
"[55.55151100000048, 37.718448999999524]",?
"[55.551400000000484, 37.71855999999952]",?
"[55.55128900000049, 37.71867099999952]",?
"[55.55117800000049, 37.718781999999514]",?
"[55.551067000000494, 37.71889299999951]",?
"[55.5509560000005, 37.71900399999951]",176 м
"[55.5508450000005, 37.719114999999505]",?
"[55.5507340000005, 37.7192259999995]",?
"[55.550623000000506, 37.7193369999995]",?
"[55.55051200000051, 37.719447999999495]",?
"[55.55040100000051, 37.71955899999949]",173 м
"[55.550290000000516, 37.71966999999949]",?
"[55.55017900000052, 37.719780999999486]",?
